,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
0,18XTQ010,西部项目,图书馆、情报与文献学,开放政府数据的风险识别、评估及防控体系研究,2018-06-21,赵润娣,副高级,西北师范大学,,甘肃,高等院校、其他学校,,,,,,,,,
1,18CTQ001,青年项目,图书馆、情报与文献学,中国古代图书馆的历史记忆功能及其机制研究,2018-06-21,王瑛琦,初级,哈尔滨理工大学,,黑龙江,高等院校、其他学校,,,,,,,,,
2,18CTQ002,青年项目,图书馆、情报与文献学,中国近代读书会及其文化现象研究,2018-06-21,凌冬梅,副高级,嘉兴学院,,浙江,高等院校、其他学校,,,,,,,,,
3,18CTQ003,青年项目,图书馆、情报与文献学,公共数字文化服务供给的不平衡不充分问题及对策研究,2018-06-21,完颜邓邓,中级,湘潭大学,,湖南,高等院校、其他学校,,,,,,,,,
4,18CTQ004,青年项目,图书馆、情报与文献学,公共图书馆低幼儿童服务理论、模式与保障研究,2018-06-21,张丽,中级,北京语言大学,,高校,高等院校、其他学校,,,,,,,,,
5,18CTQ005,青年项目,图书馆、情报与文献学,哈佛大学馆藏中国相关古地图的整理、编目与研究,2018-06-21,陈熙,中级,复旦大学,985高校211高校,上海,高等院校、其他学校,,,,,,,,,
6,18CTQ006,青年项目,图书馆、情报与文献学,技术赋能视阈下人文学者的数字学术需求及其图书馆服务策略研究,2018-06-21,肖鹏,副高级,中山大学,985高校211高校,广东,高等院校、其他学校,,,,,,,,,
7,18CTQ007,青年项目,图书馆、情报与文献学,藏族书信文献整理与研究,2018-06-21,南吉多杰,中级,青海民族大学,,青海,高等院校、其他学校,,,,,,,,,
8,18CTQ008,青年项目,图书馆、情报与文献学,黑水城出土数术文献整理研究,2018-06-21,王巍,中级,北方民族大学,,宁夏,高等院校、其他学校,,,,,,,,,
9,18CTQ009,青年项目,图书馆、情报与文献学,仡佬族家谱抢救性搜集与整理研究,2018-06-21,宋汉瑞,中级,贵州师范学院,,贵州,高等院校、其他学校,,,,,,,,,
10,18CTQ010,青年项目,图书馆、情报与文献学,法兰西学院汉学研究所馆藏汉籍整理与研究,2018-06-21,刘蕊,中级,中山大学,985高校211高校,广东,高等院校、其他学校,,,,,,,,,
